3.755,-5.1681,2.2703,-1.604,-0.56318,-0.19336,0.47259,0.063636,-0.11869,0.13591,-0.013365,0.067955,0.17147
3.8297,-5.8003,2.7568,-1.707,-0.82296,-0.02105,0.68199,0.048393,-0.24387,0.0035723,-0.0379,0.088675,0.30432
3.3435,-8.1551,3.4864,-1.2571,-0.56031,0.033344,0.50305,-0.20372,-0.32393,0.086285,-0.3787,-0.36113,0.13724
2.0639,-7.9859,2.7016,-0.79211,-0.44922,-0.042593,0.7049,-0.051285,-0.18749,0.039589,-0.28253,-0.4076,0.33403
1.7384,-7.8762,2.6226,-0.43272,-0.34375,-0.08524,0.64295,-0.23352,-0.35498,-0.066541,-0.077508,-0.35885,0.27508
1.4851,-8.7531,2.7601,-0.65385,-0.42009,-0.31885,0.31428,-0.12723,-0.40093,0.023333,-0.048108,-0.62607,0.028093
1.117,-9.6011,2.9348,-0.84865,0.019824,0.17914,0.49048,-0.3407,-0.32818,0.061886,-0.068012,-0.39211,-0.056021
0.8662,-9.2311,3.0583,-1.0528,-0.1669,-0.12421,0.22124,-0.20045,-0.10723,-0.085607,-0.19024,-0.069435,0.090863
0.75366,-9.6635,2.7231,-0.89379,-0.047949,-0.094182,0.17765,0.17977,0.15702,0.4223,0.075793,0.017943,0.023426
0.36128,-10.023,2.8091,-0.6993,0.073108,-0.051948,-0.0094677,-0.19159,-0.017553,0.18054,0.095239,-0.060273,0.24133
0.34289,-10.314,2.6085,-1.1131,-0.16428,0.14821,0.41964,-0.0026737,0.11136,0.2754,0.26873,-0.085807,-0.0049096
0.30692,-10.309,2.7467,-0.90898,-0.25602,-0.030196,0.63304,0.13402,0.4174,0.39993,0.072687,-0.13739,-0.17202
0.26639,-10.426,2.6789,-0.8821,-0.052164,0.10903,0.54869,-0.2103,-0.22248,0.1283,0.11103,-0.13996,0.0074498
0.19976,-10.684,2.5373,-1.1866,-0.33342,0.25662,0.73014,-0.097147,-0.26579,0.044364,0.061695,-0.25706,0.088308
0.1491,-10.337,3.0566,-1.0452,-0.33914,-0.12446,0.46427,-0.15951,-0.0038903,0.32709,0.064356,-0.0059004,0.10626
0.086006,-10.508,2.9531,-0.90074,-0.20945,-0.27217,0.42419,-0.25948,-0.10273,0.28666,-0.058084,-0.030774,0.26185
-0.089118,-10.778,3.0127,-1.1699,-0.072684,-0.27491,0.23236,-0.27816,0.017367,0.37209,-0.094223,0.030596,0.16521
-0.09893,-11.126,2.9935,-1.2039,-0.18546,-0.29897,0.31434,-0.23793,-0.06776,0.39172,0.10759,0.25996,0.025966
-0.13987,-10.957,3.073,-1.0943,-0.44017,-0.1024,0.45014,-0.082836,0.044997,0.15373,-0.1344,0.10912,0.22391
-0.066701,-11.003,3.205,-1.0653,-0.3421,0.024293,0.1713,-0.098051,-0.080886,0.093708,-0.18962,0.17182,0.31675
-0.14457,-11.033,3.2811,-1.0325,-0.23032,0.23725,0.45773,-0.219,-0.076302,0.29577,0.093226,0.11063,0.13376
-0.23183,-11.271,3.1337,-0.73334,0.10176,0.32287,0.52261,-0.16106,-0.29686,0.14553,0.18803,0.0054088,0.30358
-0.2792,-11.534,2.8711,-0.95485,-0.13799,-0.10706,0.40632,-0.06772,0.044961,0.43091,0.038636,0.074304,0.083075
-0.31846,-11.677,3.0775,-0.83248,0.27952,0.19701,0.56932,-0.26839,-0.14464,0.35893,0.13567,0.15877,-0.12728
-0.18005,-11.449,3.2814,-0.87387,0.34023,0.1799,0.33821,-0.53067,-0.29435,0.125,0.09213,-0.0042637,-0.049313
-0.25314,-11.418,3.1769,-1.2405,0.067276,0.30562,0.56976,-0.23906,-0.13053,0.066264,-0.11991,0.022685,0.33998
